symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_1d,event_expected_alpha_3d,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,event_best_strategy,event_backtest_confidence,event_valid_sample_size,event_price_coverage_pct,event_interpretation_label,event_interpretation_note,event_tactical_label,event_tactical_note,event_sector,event_sector_valid_sample_size,event_sector_price_coverage_pct,event_sector_interpretation_label,event_sector_tactical_label,event_sector_interpretation_note,event_sector_tactical_note,event_sector_reaction_profile,event_sector_interpretable_score,event_interpretable_score,event_win_rate_5d,event_sample_size,event_reaction_profile,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
005930,삼성전자,IT하드웨어 (반도체),0.6711416666666665,0.7999999999999999,0.78,0.5833333333333334,0.59375,0.4666666666666666,9.1828,0.8118,3.0,3.0,0.0,0.7945,8.6649,0.0,3.4968,0.0,-0.0114,0.7505,0.3333,33.9492,4.8766,0.7512,0.402,진정한 풀스택,0.6649,2.0,1.0,0.0503,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,7.0,3.6,0.8703821656050955,0.1407105950597772,0.9490445859872612,0.9745222929936306,numpy_mlp,461,,,,,,,,,0,,,,,,,0.95,0.7023809523809523,,,,,,0.9872611464968153,0.9490445859872612,,4,0.8276051737374884
000660,SK하이닉스,IT하드웨어 (반도체),0.6025805555555556,0.5555555555555556,0.62,0.638888888888889,0.53125,0.4833333333333333,7.2873,0.8675,2.0,2.0,0.0,0.7979,0.0,0.0,0.0,0.0,0.0,0.6522,0.0,40.9048,3.01,0.6699,0.3641,HBM 전선 이상 무,0.5,1.0,1.0,0.2701,3.4968,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,7.0,3.6,0.873248407643312,0.3349697519119329,1.0,0.9745222929936306,numpy_mlp,461,,,,,,,,,0,,,,,,,0.9,0.42857142857142855,,,,,,0.9936305732484076,1.0,,4,0.7544283866014558
000270,기아,자동차/완성차,0.5767305555555556,0.888888888888889,0.44,0.4722222222222222,0.59375,0.525,,,,,,,,,,,,,,,,,,,,,,,,,-0.4212,-4.414,-1.7876,-3.5289,1.0,1.0,0.0,BUYBACK,positive,16.41,immediate_close,낮음,2.0,66.67,표본 얕음,초기 경향은 보이지만 아직 표본이 얕아 단독 근거로 쓰기에는 이릅니다.,보수적 관찰,현재 표본만 보면 초기와 5일 반응이 모두 약해 존재 여부만 보는 편이 낫습니다.,자동차/완성차,1.0,100.0,표본 얕음,보수적 관찰,초기 경향은 보이지만 아직 표본이 얕아 단독 근거로 쓰기에는 이릅니다.,현재 표본만 보면 초기 반응과 5일 성과가 모두 약해 존재 여부만 체크하는 편이 낫습니다.,반응 약함,-0.9211,-0.4752,50.0,3.0,반응 약함,0.0,3.6,0.5374203821656052,0.20014816302416652,0.9681528662420382,0.5414012738853503,numpy_mlp,461,,,,,,,,,0,,,,,,,0.8,,,,,,,0.5859872611464968,0.9681528662420382,0.075,4,0.6463475318471338
207940,삼성바이오로직스,제약/바이오 (대형),0.5146499999999999,0.5,0.5199999999999999,0.6333333333333333,0.625,0.5875,,,,,,,,,,,,,,,,,,,,,,,,,0.864,-1.5758,-4.0709,-0.6566,1.0,0.0,1.0,DILUTION,negative,15.65,immediate_close,낮음,1.0,25.0,표본 얕음,가격이 충분히 붙지 않아 아직 과신보다 관찰이 먼저입니다.,표본 얕음,재료는 보이지만 아직 단독 판단 근거로 쓰기에는 표본이 적습니다.,제약/바이오 (대형),1.0,100.0,표본 얕음,보수적,초기 경향은 보이지만 아직 표본이 얕아 단독 근거로 쓰기에는 이릅니다.,부정 공시 비중이 높아 반등이 나와도 보수적으로 읽는 편이 낫습니다.,초기 반응과 유지력,0.2136,-0.1843,100.0,4.0,초기 반응과 유지력,0.0,3.6,0.5546178343949044,0.13411976904950887,0.9299363057324841,0.9203821656050956,numpy_mlp,461,,,,,,,,,0,,,,,,,0.4,,,,,,,0.6242038216560509,0.9299363057324841,0.975,4,0.6294287420382165
373220,LG에너지솔루션,2차전지/배터리,0.4223833333333333,0.1333333333333333,0.5900000000000001,0.2611111111111111,0.75,0.6625,7.7802,1.6047,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0132,0.5873,0.0,21.7799,0.0,1.0,0.4224,26년 ESS 추정치 추가 상향 조정,1.0,1.0,1.0,0.2784,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,3.6,0.6549363057324842,0.12442774228535368,0.9235668789808917,0.708067940552017,numpy_mlp,461,,,,,,,,,0,,,,,,,0.15,0.5,,,,,,0.8343949044585988,0.9235668789808917,,4,0.49126567476114646
019180,티에이치엔,자동차부품,,,,,,,4.8705,0.1516,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2185,0.5785,0.0,0.0,0.0,1.0,0.402,P/E가 3배도 안 되네요,1.0,1.0,1.0,-0.0109,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,LARGE_HOLDER,neutral,16.41,immediate_close,낮음,1.0,20.0,표본 얕음,가격이 충분히 붙지 않아 아직 과신보다 관찰이 먼저입니다.,존재 확인,방향성이 약한 공시라 단독 매수 재료보다 존재 여부만 확인하는 편이 낫습니다.,자동차부품/타이어,0.0,0.0,해석 보류,존재 확인,아직 5일 성과가 붙은 표본이 없어 방향 판단을 내리기 어렵습니다.,방향성이 약한 공시가 많아 매수 재료보다 존재 여부만 확인하는 편이 낫습니다.,성과 대기,0.0,0.0676,100.0,5.0,시간차 반응,0.0,3.6,0.4800955414012739,-0.04470847059701584,0.5477707006369427,0.42857142857142855,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.17857142857142858,,,,,,0.4713375796178344,0.5477707006369427,0.5333333333333333,4,0.4108871392050906
005380,현대차,자동차/완성차,0.5090694444444444,0.7777777777777777,0.45,0.2555555555555555,0.33125,0.5333333333333333,6.5988,1.9298,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,-0.0095,0.7945,0.5,-2.0772,0.0,1.0,0.3641,현대차(005380) 팰리세이드 리콜 관련 업데이트,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,3.6,0.6434713375796179,-0.10114368734689902,0.11464968152866242,0.5414012738853503,numpy_mlp,461,,,,,,,,,0,,,,,,,0.35,0.36904761904761907,,,,,,0.8089171974522293,0.11464968152866242,,4,0.3943995606801638
393890,더블유씨피,전기제품,,,,,,,11.6849,4.4294,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0134,0.589,0.0,120.2202,0.0,1.0,0.4224,"실적, 밸류에이션 정상화 초입 구간",1.0,1.0,1.0,0.3526,0.0,2.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,3.6,0.7065286624203821,0.14334341594710703,0.9554140127388535,0.8386411889596603,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.9523809523809523,,,,,,0.9426751592356688,0.9554140127388535,,3,0.8646632428081471
036800,나이스정보통신,상업서비스와공급품,,,,,,,12.3038,6.0061,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.0755,0.0,1.0,0.4438,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,3.6,0.7179936305732484,0.04362826342878612,0.8089171974522293,0.8089171974522293,numpy_mlp,461,,,,,,,,,0,,,,,,,,1.0,,,,,,0.9681528662420382,0.8089171974522293,,3,0.8500275600195981
023910,대한약품,제약,,,,,,,11.3295,4.371,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.67,0.0,1.0,0.4438,대한약품(023910) 안정적인 수액제 생산 & Valuation 저평가,1.0,1.0,1.0,0.2593,0.0,4.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,3.6,0.7036624203821656,0.11433732315128113,0.9044585987261147,0.46496815286624205,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.9404761904761905,,,,,,0.9363057324840764,0.9044585987261147,,3,0.8454167249947504
